district,name,state,partyid,corptpct,labtpct,mexbordr,timing,dleader,rleader,ncomact,vote,pscenter,inter1,ideol,hhcenter,inter2,perotsq,pecenter,mexstate
12,Levin,MI,1,0.13,0.15,0,435,0,0,1,0,0.0936299,0,0,0.8044119,0,0.0304798,-0.0107477,0
13,Ford,MI,1,0.16,0.39,0,281,0,0,0,0,0.0829454,0,0,0.588012,0,0.0281131,-0.0176628,0
14,Conyers,MI,1,0.13,0.19,0,275,0,0,0,0,0.0936299,0,0,-0.563688,0,0.0033012,-0.127876,0
15,Collins,MI,1,0.17,0.38,0,396,0,0,0,0,0.0936299,0,0,-1.545188,0,0.0021773,-0.1386704,0
16,Dingell,MI,1,0.34,0.1,0,447,0,0,1,0,0.0936299,0,0,0.4599121,0,0.0389385,0.011996,0
1,Penny,MN,1,0.13,0.02,0,225,0,0,0,1,0.0117703,0,0,-0.234488,0,0.070441,0.0800748,0
2,Minge,MN,1,0.02,0.29,0,447,0,0,0,0,0.0261055,0.0261055,1,-0.369188,-0.369188,0.0801507,0.0977768,0
3,Ramstad,MN,0,0.08,0.01,0,396,0,0,0,1,0.0354694,0.0354694,1,1.324712,1.324712,0.0596605,0.0589227,0
4,Vento,MN,1,0.16,0.22,0,435,0,0,1,0,0.0354694,0,0,0.195412,0,0.042563,0.0209758,0
5,Sabo,MN,1,0.21,0.22,0,416,1,0,0,0,0.0354694,0,0,-0.208188,0,0.0329822,-0.0037222,0
6,Grams,MN,0,0.18,0,0,396,0,0,1,1,0.034415,0.034415,1,1.163012,1.163012,0.0730273,0.0849034,0
7,Peterson,MN,1,0.07,0.26,0,248,0,0,0,0,-0.0030563,0,0,-0.782288,0,0.0548547,0.0488784,0
8,Oberstrar,MN,1,0.17,0.23,0,396,0,0,0,0,0.0497367,0,0,-0.6048879,0,0.0593766,0.0583409,0
1,Clay,MO,1,0.14,0.41,0,435,0,0,0,0,0.0510321,0,0,-0.575288,0,0.0157702,-0.0597527,0
2,Talent,MO,0,0.14,0,0,435,0,0,0,0,0.075467,0.075467,1,1.324112,1.324112,0.0538382,0.0466983,0
3,Cephardt,MO,1,0.18,0.06,0,396,1,0,0,0,0.0530644,0,0,0.0147119,0,0.0557621,0.0508078,0
4,Skelton,MO,1,0.29,0.08,0,461,0,0,0,1,0.0082413,0,0,-0.7651879,0,0.0644517,0.068541,0
5,Wheat,MO,1,0.19,0.3,0,385,1,0,0,0,0.0196112,0,0,-0.374788,0,0.0467127,0.0307988,0
6,Danner,MO,1,0.03,0.16,0,396,0,0,0,0,0.0120236,0,0,-0.355088,0,0.0750777,0.0886708,0
7,Hancock,MO,0,0.14,0,0,458,0,0,0,1,-0.0291945,-0.0291945,1,-0.9003879,-0.9003879,0.0341348,-0.0005763,0
8,Emerson,MO,0,0.25,0.01,0,458,0,0,0,1,-0.0101671,-0.0101671,1,-1.250888,-1.250888,0.0298211,-0.0126445,0
9,Volkmer,MO,1,0.14,0.22,0,396,0,0,0,0,0.0175607,0,0,-0.466088,0,0.0599781,0.059572,0
1,Whitten,MS,1,0.1,0.01,0,461,0,0,0,1,-0.0403551,0,0,-0.984888,0,0.0077716,-0.0971759,0
2,Thompson,MS,1,0.23,0.22,0,396,0,0,0,0,-0.047531,0,0,-1.518588,0,0.0029473,-0.1310428,0
3,Montgomery,MS,1,0.31,0,0,448,0,0,0,1,-0.0446315,0,0,-0.9090881,0,0.0064115,-0.1052607,0
4,Parker,MS,1,0.24,0.01,0,396,0,0,0,1,-0.0484562,-0.0484562,1,-1.048188,-1.048188,0.0067805,-0.1029887,0
5,Taylor,MS,1,0.24,0.01,0,396,0,0,0,0,-0.0501004,-0.0501004,1,-0.9013879,-0.9013879,0.0184435,-0.0495255,0
0,Williams,MT,1,0.03,0.2,0,460,1,0,0,0,0.0003141,0,0,-0.772788,0,0.0697703,0.0788084,0
1,Clayton,NC,1,0.05,0.25,0,455,0,0,0,0,-0.0791187,0,0,-1.248988,0,0.0101908,-0.0843828,0
2,Valentine,NC,1,0.3,0.02,0,456,0,0,0,1,-0.0879987,0,0,-0.3444881,0,0.0197799,-0.0446914,0
3,Lancaster,NC,1,0.22,0.04,0,463,0,0,0,0,-0.0798088,0,0,-0.6162879,0,0.0213918,-0.0390729,0
4,Price,NC,1,0.18,0.18,0,462,0,0,0,1,-0.0939314,0,0,0.3853119,0,0.020571,-0.0419065,0
5,Neal,NC,1,0.36,0.06,0,458,0,0,1,1,-0.0800002,0,0,-0.5172879,0,0.0180339,-0.0510418,0
6,Coble,NC,0,0.2,0.01,0,463,0,0,0,1,-0.0766663,-0.0766663,1,-0.0087881,-0.0087881,0.0266892,-0.021964,0
7,Rose,NC,1,0.19,0.15,0,396,0,0,0,1,-0.078174,0,0,-0.6007881,0,0.0183841,-0.0497442,0
8,Hefner,NC,1,0.31,0.14,0,462,1,0,0,1,-0.0744492,0,0,-0.453588,0,0.0194892,-0.0457287,0
9,McMillian,NC,0,0.42,0.02,0,395,0,0,1,1,-0.0722655,-0.0722655,1,0.463012,0.463012,0.0214364,-0.0389207,0
10,Ballenger,NC,0,0.32,0,0,456,0,0,0,1,-0.0821655,-0.0821655,1,-0.220488,-0.220488,0.0220151,-0.0369574,0
11,Taylor,NC,0,0.12,0.01,0,396,0,0,0,0,-0.0777643,-0.0777643,1,-0.715188,-0.715188,0.0202414,-0.0430601,0
12,Watt,NC,1,0.1,0.12,0,463,0,0,1,0,-0.0775204,0,0,-0.7647881,0,0.0078587,-0.096683,0
0,Pomeroy,ND,1,0.19,0.22,0,396,0,0,0,0,-0.0576799,0,0,-0.750288,0,0.0537891,0.0465924,0
1,Bereuter,NE,0,0.33,0,0,435,0,0,1,1,-0.0472795,-0.0472795,1,-0.4952881,-0.4952881,0.0585997,0.0567414,0
2,Hoagland,NE,1,0.2,0.22,0,459,0,0,1,1,-0.0377481,0,0,0.0173121,0,0.0402219,0.0152217,0
3,Barrett,NE,0,0.14,0,0,396,0,0,0,1,-0.0687038,-0.0687038,1,-0.8371879,-0.8371879,0.0718359,0.0826899,0
1,Zeliff,NH,0,0.18,0,0,396,0,0,0,1,-0.0599985,-0.0599985,1,0.5795119,0.5795119,0.0529241,0.0447201,0
2,Swett,NH,1,0.07,0.22,0,396,0,0,0,0,-0.0594769,0,0,0.5429121,0,0.0507796,0.040011,0
1,Andrews,NJ,1,0.07,0.21,0,395,0,0,0,0,0.0298996,0,0,0.4534121,0,0.0389765,0.0120925,0
2,Hughes,NJ,1,0.14,0.11,0,435,0,0,0,0,0.0462754,0,0,0.1694119,0,0.0411847,0.0176079,0
3,Saxton,NJ,0,0.18,0.03,0,455,0,0,0,0,0.0277247,0.0277247,1,1.054112,1.054112,0.0377431,0.0089436,0
4,Smith,NJ,0,0.05,0.08,0,395,0,0,0,0,0.0288308,0.0288308,1,0.6172121,0.6172121,0.0363692,0.0053747,0
5,Roukema,NJ,0,0.25,0.03,0,461,0,0,1,1,0.0364294,0.0364294,1,2.271712,2.271712,0.0273207,-0.0200425,0
6,Pallons,NJ,1,0.06,0.27,0,344,0,0,1,0,0.0287124,0,0,1.159312,0,0.0278037,-0.018588,0
7,Franks,NJ,0,0.12,0.02,0,396,0,0,0,1,0.0414895,0.0414895,1,2.028012,2.028012,0.0208009,-0.041107,0
8,Klein,NJ,1,0.01,0.05,0,395,0,0,1,0,0.0424028,0,0,0.922812,0,0.0138991,-0.0674377,0
9,Torricelli,NJ,1,0.1,0.09,0,396,0,0,0,0,0.0774708,0,0,1.010012,0,0.0150803,-0.0625306,0
10,Payne,NJ,1,0.17,0.23,0,317,0,0,0,0,0.0762632,0,0,-0.1866879,0,0.0070262,-0.1015096,0
11,Gallo,NJ,0,0.15,0.05,0,396,0,0,0,1,0.0426801,0.0426801,1,2.650312,2.650312,0.0242781,-0.0295178,0
12,Zimmer,NJ,0,0.12,0.01,0,395,0,0,0,1,0.0322558,0.0322558,1,2.391412,2.391412,0.0277203,-0.0188381,0
13,Menendez,NJ,1,0.07,0.13,0,426,0,0,0,0,0.0646872,0,0,-0.1994879,0,0.0074137,-0.0992296,0
1,Schiff,NM,0,0.14,0.02,0,461,0,0,0,1,-0.0514099,-0.0514099,1,-0.3641879,-0.3641879,0.0247858,-0.0278971,1
2,Skeen,NM,0,0.14,0,1,396,0,0,0,1,-0.0539964,-0.0539964,1,-0.9259879,-0.9259879,0.0344733,0.0003376,1
3,Richardson,NM,1,0.23,0.07,0,289,1,0,1,1,-0.0535151,0,0,-0.7105879,0,0.0213483,-0.0392218,1
1,Bilbray,NV,1,0.1,0.12,0,441,0,0,0,0,0.0730243,0,0,-0.1104879,0,0.0618089,0.0632817,0
2,Vucanovich,NV,0,0.19,0,0,395,0,0,0,0,0.0243222,0.0243222,1,0.1697121,0.1697121,0.0790786,0.0958769,0
1,Hochbrueckner,NY,1,0.07,0.32,0,396,0,0,0,0,0.0490674,0,0,1.474812,0,0.0460712,0.0293097,0
2,Lazio,NY,0,0.06,0.04,0,458,0,0,1,1,0.0490674,0.0490674,1,1.936012,1.936012,0.0380045,0.0096151,0
3,King,NY,0,0.11,0.04,0,396,0,0,1,1,0.0490674,0.0490674,1,2.534412,2.534412,0.0197625,-0.044753,0
4,Levy,NY,0,0.14,0.02,0,396,0,0,0,1,0.0490674,0.0490674,1,2.017112,2.017112,0.0141237,-0.0664892,0
5,Ackerman,NY,1,0.09,0.24,0,435,0,0,0,0,0.0901311,0,0,1.938712,0,0.0148433,-0.0634992,0
6,Flake,NY,1,0.16,0.27,0,396,0,0,1,1,0.1047632,0,0,0.5507119,0,0.0037616,-0.1240007,0
7,Manton,NY,1,0.22,0.17,0,395,0,0,1,0,0.1047632,0,0,-0.0391881,0,0.0083788,-0.0937966,0
8,Nadler,NY,1,0.1,0.24,0,396,0,0,0,0,0.1047632,0,0,0.2068119,0,0.0031134,-0.1295345,0
9,Schumer,NY,1,0.12,0.03,0,441,0,0,1,0,0.1047632,0,0,0.404212,0,0.0073044,-0.0998667,0
10,Towns,NY,1,0.19,0.08,0,345,0,0,1,0,0.1047632,0,0,-0.7551879,0,0.0014499,-0.1472548,0
11,Owens,NY,1,0.06,0.37,0,396,0,0,0,0,0.1047632,0,0,-0.456788,0,0.0010569,-0.1528219,0
12,Valazquez,NY,1,0.04,0.16,0,359,0,0,1,0,0.1047632,0,0,-1.027188,0,0.0027394,-0.1329927,0
13,Molinari,NY,0,0.17,0.03,0,435,0,0,0,1,0.1047632,0.1047632,1,0.772112,0.772112,0.0157237,-0.059938,0
14,Maloney,NY,1,0.01,0.19,0,435,0,0,1,0,0.1047632,0,0,1.146812,0,0.0050864,-0.1140135,0
15,Rangel,NY,1,0.28,0.12,0,396,1,0,1,0,0.1047632,0,0,-1.147788,0,0.0010645,-0.152705,0
16,Serrano,NY,1,0.14,0.39,0,396,0,0,0,0,0.1047632,0,0,-1.565588,0,0.0010994,-0.1521751,0
17,Engel,NY,1,0.08,0.27,0,395,0,0,0,0,0.1047632,0,0,-0.3488879,0,0.0025343,-0.1349908,0
18,Lowey,NY,1,0.02,0.12,0,458,0,0,0,1,0.1047632,0,0,1.303812,0,0.0088121,-0.0914593,0
19,Fish,NY,0,0.24,0.05,0,461,0,0,0,1,0.0700806,0.0700806,1,1.952312,1.952312,0.0300724,-0.0119182,0
20,Gilman,NY,0,0.08,0.15,0,458,0,0,0,0,0.0866608,0,0,1.639112,0,0.0201403,-0.0434156,0
21,McNulty,NY,1,0.12,0.27,0,212,0,0,1,0,0.0154621,0,0,0.077312,0,0.0309398,-0.0094351,0
22,Solomon,NY,0,0.25,0.15,0,301,0,1,0,0,0.0166747,0.0166747,1,0.259012,0.259012,0.0503075,0.0389611,0
23,Boehlert,NY,0,0.17,0.15,0,458,0,0,0,1,0.0341767,0,0,-0.456088,0,0.0508092,0.0400767,0
24,McHugh,NY,0,0.13,0.1,0,456,0,0,0,0,0.0525394,0.0525394,1,-0.5028879,-0.5028879,0.0582707,0.0560609,0
25,Walsh,NY,0,0.11,0.01,0,395,0,0,0,0,0.0429393,0.0429393,1,0.036412,0.036412,0.0493831,0.0368908,0
26,Hinchey,NY,1,0.03,0.17,0,396,0,0,1,0,0.0149659,0,0,-0.038088,0,0.0421029,0.0198576,0
27,Paxon,NY,0,0.16,0,0,395,0,1,1,1,0.0269217,0.0269217,1,0.3857119,0.3857119,0.0613788,0.0624151,0
28,Slaughter,NY,1,0.07,0.33,0,435,0,0,0,0,-0.0382715,0,0,0.318312,0,0.03197,-0.0065308,0
29,LaFalce,NY,1,0.25,0.06,0,396,0,0,1,0,0.0480977,0,0,-0.1764879,0,0.0726907,0.0842799,0
30,Quinn,NY,0,0.02,0,0,396,0,0,0,0,0.0874241,0.0874241,1,-0.4452879,-0.4452879,0.0791729,0.0960446,0
31,Houghton,NY,0,0.19,0.02,0,303,0,0,1,1,0.0453318,0.0453318,1,-0.5591881,-0.5591881,0.0660854,0.0717384,0
1,Mann,OH,1,0.08,0.17,0,458,0,0,0,1,0.0145517,0,0,-0.5310881,0,0.0201329,-0.043442,0
2,Portman,OH,0,0,0,0,460,0,0,0,1,0.0183187,0.0183187,1,0.3972121,0.3972121,0.0352596,0.0024431,0
3,Hall,OH,1,0.17,0.24,0,400,0,0,0,0,0.0271081,0,0,-0.0632879,0,0.0334974,-0.0023093,0
4,Oxley,OH,0,0.37,0,0,396,0,0,1,1,0.0983495,0.0983495,1,-0.340388,-0.340388,0.0533448,0.0456327,0
5,Gillmor,OH,0,0.35,0.01,0,462,0,0,1,1,0.0995246,0.0995246,1,-0.0598881,-0.0598881,0.0629562,0.0655785,0
6,Strickland,OH,1,0.01,0.35,0,359,0,0,0,0,0.0699348,0,0,-0.895488,0,0.0399639,0.0145775,0
7,Hobson,OH,0,0.23,0.01,0,458,0,0,0,1,0.0294553,0.0294553,1,-0.0351879,-0.0351879,0.0467732,0.0309389,0
8,Boehner,OH,0,0.17,0,0,396,0,1,0,1,0.038731,0.038731,1,0.045512,0.045512,0.0549371,0.0490544,0
9,Kaptur,OH,1,0.08,0.41,0,206,0,0,0,0,0.1181948,0,0,-0.1859879,0,0.0400342,0.0147531,0
10,Hoke,OH,0,0,0,0,441,0,0,0,0,0.0443554,0.0443554,1,-0.039288,-0.039288,0.0505403,0.0394793,0
11,Stokes,OH,1,0.08,0.15,0,396,0,0,0,0,0.0443554,0,0,-0.8256881,0,0.0102696,-0.0839931,0
12,Kasich,OH,0,0.18,0,0,458,0,0,0,1,-0.023575,-0.023575,1,0.0143121,0.0143121,0.0324656,-0.0051501,0
13,Brown,OH,1,0.05,0.29,0,396,0,0,1,0,0.0582402,0,0,0.4009121,0,0.0712236,0.0815453,0
14,Sawyer,OH,1,0.16,0.36,0,462,0,0,0,1,0.0582074,0,0,-0.2531881,0,0.0532762,0.045484,0
15,Pryce,OH,0,0.15,0,0,396,0,0,1,1,-0.023575,-0.023575,1,0.030412,0.030412,0.0386422,0.0112439,0
16,Regula,OH,0,0,0,0,396,0,0,0,0,0.0932472,0.0932472,1,-0.3191881,-0.3191881,0.0567178,0.0528226,0
17,Traficant,OH,1,0.03,0.48,0,275,0,0,0,0,0.1553471,0,0,-0.5495879,0,0.0593128,0.05821,0
18,Applegate,OH,1,0.16,0.32,0,396,0,0,0,0,0.0720747,0,0,-0.7907879,0,0.052159,0.0430511,0
19,Fingerhut,OH,1,0.03,0.18,0,395,0,0,1,0,0.0469287,0,0,0.3669119,0,0.0532945,0.0455238,0
1,Inhofe,OK,0,0.26,0.02,0,435,0,0,0,0,-0.0349068,-0.0349068,1,-0.324388,-0.324388,0.0441936,0.0248904,0
2,Synar,OK,1,0,0,0,435,0,0,1,1,-0.0440481,0,0,-1.008288,0,0.0468139,0.0310329,0
3,Brewster,OK,1,0.28,0.04,0,462,0,0,1,1,-0.0505447,-0.0505447,1,-1.232188,-1.232188,0.060392,0.0604155,0
4,McCurdy,OK,1,0.31,0.02,0,225,0,0,0,1,-0.0532583,0,0,-0.532488,0,0.0614443,0.0625474,0
5,Istook,OK,0,0.11,0,0,458,0,0,0,1,-0.0474724,-0.0474724,1,-0.236788,-0.236788,0.0561959,0.0517244,0
6,English,OK,1,0.16,0.03,0,462,0,0,0,1,-0.0490593,-0.0490593,1,-0.8918881,-0.8918881,0.0526337,0.044088,0
1,Furse,OR,1,0.01,0.09,0,396,0,0,1,0,0.0106822,0,0,0.251112,0,0.0559926,0.0512952,0
2,Smith,OR,0,0.13,0,0,396,0,0,0,1,0.0287975,0.0287975,1,-0.6766879,-0.6766879,0.0712631,0.0816192,0
3,Wyden,OR,1,0.15,0.07,0,289,0,0,1,1,0.0085265,0,0,-0.3565881,0,0.0448655,0.0264826,0
4,DeFazio,OR,1,0.08,0.37,0,396,0,0,0,0,0.0269303,0,0,-0.6122879,0,0.0652213,0.0700524,0
5,Kopetski,OR,1,0.15,0.2,0,303,0,0,0,1,0.0183559,0,0,-0.210788,0,0.0620864,0.0638391,0
1,Foglietta,PA,1,0.13,0.26,0,455,0,0,0,0,0.0298996,0,0,-1.034388,0,0.0068368,-0.1026475,0
2,Blackwell,PA,1,0.07,0.35,0,400,0,0,0,0,0.0298996,0,0,-0.5835881,0,0.003977,-0.1222691,0
3,Borski,PA,1,0.13,0.28,0,400,0,0,0,0,0.0298996,0,0,-0.155888,0,0.0271894,-0.0204403,0
4,Klink,PA,1,0.06,0.25,0,359,0,0,1,0,0.0497638,0,0,-0.3923881,0,0.0425215,0.020875,0
5,Clinger,PA,0,0.23,0.04,0,461,0,0,0,1,0.0443901,0.0443901,1,-0.678188,-0.678188,0.0497997,0.0378261,0
6,Holden,PA,1,0.02,0.3,0,396,0,0,0,0,0.0339732,0,0,-0.194988,0,0.0527024,0.0442377,0
7,Weldon,PA,0,0.18,0.11,0,462,0,0,0,0,0.0298996,0.0298996,1,1.099412,1.099412,0.0303047,-0.0112499,0
8,Greenwood,PA,0,0.13,0,0,460,0,0,1,1,0.0298996,0.0298996,1,1.276712,1.276712,0.0478639,0.0334459,0
9,Shuster,PA,0,0.16,0.01,0,463,0,0,0,0,0.0546883,0.0546883,1,-0.6406879,-0.6406879,0.0384967,0.0108734,0
10,McDade,PA,0,0.35,0.09,0,463,0,0,0,1,0.0446323,0.0446323,1,-0.506788,-0.506788,0.0412318,0.0177239,0
11,Kanjorski,PA,1,0.18,0.22,0,463,0,0,1,0,0.0588638,0,0,-0.640588,0,0.0385452,0.0109971,0
12,Murtha,PA,1,0.38,0.11,0,204,0,0,0,0,0.0631105,0,0,-0.869188,0,0.0414481,0.0182559,0
13,Margoloes-Mezv,PA,1,0.03,0.09,0,435,0,0,1,0,0.0298996,0,0,1.404812,0,0.026703,-0.0219217,0
14,Coyne,PA,1,0.11,0.26,0,435,0,0,1,0,0.0459533,0,0,-0.5964879,0,0.0236866,-0.0314277,0
15,McHale,PA,1,0.01,0.42,0,396,0,0,0,0,0.0420346,0,0,0.2333119,0,0.0464735,0.0302449,0
16,Walker,PA,0,0.27,0,0,396,0,1,0,1,0.0123132,0.0123132,1,0.6837121,0.6837121,0.0369807,0.0069713,0
17,Gekas,PA,0,0.21,0.01,0,396,0,0,0,1,-0.0139978,-0.0139978,1,0.1125119,0.1125119,0.0317303,-0.0072023,0
18,Santorum,PA,0,0.17,0,0,463,0,0,1,0,0.0459533,0.0459533,1,-0.171288,-0.171288,0.0311145,-0.0089394,0
19,Goodling,PA,0,0.01,0,0,458,0,0,0,1,0.0014539,0.0014539,1,0.1708119,0.1708119,0.0387088,0.0114132,0
20,Murphy,PA,1,0.14,0.4,0,396,0,0,0,0,0.0460128,0,0,-0.442188,0,0.0404582,0.0158099,0
21,Ridge,PA,0,0.25,0.08,0,455,0,0,1,1,0.0645935,0.0645935,1,-0.4870879,-0.4870879,0.0419253,0.0194245,0
1,Machtley,RI,0,0.11,0.05,0,435,0,0,0,1,-0.0007196,-0.0007196,1,0.095912,0.095912,0.0530492,0.0449919,0
2,Reed,RI,1,0.06,0.26,0,396,0,0,0,0,0.0001222,0,0,0.2013121,0,0.0559245,0.0511514,0
1,Ravenel,SC,0,0.18,0.03,0,396,0,0,0,0,-0.0761406,-0.0761406,1,-0.2010879,-0.2010879,0.0192692,-0.0465187,0
2,Spence,SC,0,0.4,0.02,0,463,0,0,0,0,-0.0843553,-0.0843553,1,-0.021588,-0.021588,0.012839,-0.072023,0
3,Derrick,SC,1,0.33,0.06,0,396,1,0,0,0,-0.0795716,0,0,-0.481888,0,0.0178919,-0.0515717,0
4,Inglis,SC,0,0.01,0,0,461,0,0,0,0,-0.1029952,-0.1029952,1,-0.3012881,-0.3012881,0.0149729,-0.0629685,0
5,Spratt,SC,1,0.35,0.03,0,463,0,0,0,1,-0.0815699,0,0,-0.5500879,0,0.0151252,-0.0623478,0
6,Clyburn,SC,1,0.12,0.06,0,460,0,0,0,0,-0.0822566,0,0,-1.146188,0,0.0041702,-0.1207555,0
0,Johnson,SD,1,0.04,0.22,0,441,0,0,0,0,-0.0744906,0,0,-0.821288,0,0.0478978,0.0335234,0
1,Quillen,TN,0,0.21,0.05,0,460,0,0,0,1,-0.0021028,-0.0021028,1,-0.876388,-0.876388,0.0137156,-0.0682186,0
2,Duncan,TN,0,0.25,0.03,0,435,0,0,0,1,-0.0079718,-0.0079718,1,-0.544888,-0.544888,0.0124096,-0.0739338,0
3,Lloyd,TN,1,0.24,0.18,0,435,0,0,0,1,-0.025355,0,0,-0.602888,0,0.0136786,-0.0683767,0
4,Cooper,TN,1,0.01,0,0,460,0,0,1,1,-0.0125825,0,0,-1.003088,0,0.0131278,-0.0707557,0
5,Clement,TN,1,0.21,0.12,0,455,0,0,0,1,-0.0437203,0,0,-0.2507879,0,0.010149,-0.0845902,0
6,Gordon,TN,1,0.22,0.15,0,460,0,0,0,1,-0.0398597,0,0,-0.1481881,0,0.0148407,-0.0635097,0
7,Sundquist,TN,0,0.24,0.01,0,395,0,0,1,1,-0.0354509,-0.0354509,1,-0.1473879,-0.1473879,0.0096692,-0.0870002,0
8,Tanner,TN,1,0.27,0.09,0,460,0,0,0,1,-0.0338457,0,0,-0.8093879,0,0.0084558,-0.093377,0
9,Ford,TN,1,0.14,0.25,0,460,0,0,1,1,-0.0402553,0,0,-0.859888,0,0.0016798,-0.1443466,0
1,Chapman,TX,1,0.33,0.1,0,460,0,0,0,1,-0.0752372,0,0,-0.9018881,0,0.0524095,0.0435989,1
2,Wilson,TX,1,0.22,0.14,0,435,0,0,0,0,-0.059477,0,0,-0.9499881,0,0.0479948,0.0337448,1
3,Johnson,TX,1,0.15,0.18,0,449,0,0,0,1,-0.061286,-0.061286,1,-0.757188,-0.757188,0.0257276,-0.024934,1
4,Hall,TX,1,0.39,0,0,463,0,0,1,0,-0.0766665,-0.0766665,1,-0.3741879,-0.3741879,0.0914183,0.1170224,1
5,Bryant,TX,1,0.18,0.16,0,462,0,0,1,1,-0.0766317,0,0,-0.667088,0,0.0664951,0.0725341,1
6,Barton,TX,0,0.24,0,0,129,0,1,1,1,-0.0590235,-0.0590235,1,1.098112,1.098112,0.0913976,0.1169881,1
7,Archer,TX,0,0,0,0,391,0,0,1,1,-0.0765232,-0.0765232,1,1.144112,1.144112,0.0422931,0.0203205,1
8,Fields,TX,0,0.36,0.03,0,396,0,0,1,1,-0.0764556,-0.0764556,1,0.4738119,0.4738119,0.0506369,0.0396942,1
9,Brooks,TX,1,0.3,0.15,0,391,0,0,0,0,-0.0625868,0,0,-0.1295881,0,0.043562,0.0233829,1
10,Pickle,TX,1,0.29,0.01,0,391,0,0,1,1,-0.0960483,0,0,-0.3435881,0,0.0411568,0.0175391,1
11,Edwards,TX,1,0.28,0.21,0,434,0,0,0,1,-0.0881333,0,0,-0.8432879,0,0.0526963,0.0442244,1
12,Geren,TX,1,0.22,0.02,0,356,0,0,0,1,-0.0329206,-0.0329206,1,-0.3349881,-0.3349881,0.0758845,0.0901391,1
13,Sarpalius,TX,1,0.16,0.13,0,462,0,0,0,1,-0.0784811,0,0,-0.9808881,0,0.0415189,0.0184296,1
14,Laughlin,TX,1,0.26,0.11,0,396,0,0,0,1,-0.082395,0,0,-0.6903879,0,0.049376,0.0368747,1
15,DeLaGarza,TX,1,0.19,0,1,349,0,0,0,1,-0.0831689,0,0,-1.284988,0,0.0172517,-0.0539867,1
16,Coleman,TX,1,0.14,0.22,1,225,0,0,0,1,-0.0724432,0,0,-0.8083879,0,0.0209442,-0.0406113,1
17,Stenholm,TX,1,0.25,0,0,396,1,0,0,1,-0.075417,-0.075417,1,-0.9183881,-0.9183881,0.066996,0.0735036,1
18,Washington,TX,1,0.15,0.33,0,435,0,0,1,0,-0.0765232,0,0,-0.8184881,0,0.0129918,-0.0713509,1
19,Combest,TX,0,0.22,0,0,461,0,0,0,1,-0.0792253,-0.0792253,1,-0.3448879,-0.3448879,0.027494,-0.0195192,1
20,Gonzalez,TX,1,0.03,0.05,0,391,0,0,1,0,-0.0875596,0,0,-0.834388,0,0.0296166,-0.0132377,1
21,Smith,TX,0,0.11,0,0,391,0,0,0,1,-0.0858341,-0.0858341,1,0.1297119,0.1297119,0.0520225,0.0427521,1
22,DeLay,TX,0,0.38,0.01,0,351,0,1,0,1,-0.0745014,-0.0745014,1,0.9938121,0.9938121,0.0484518,0.0347854,1
23,Bonilla,TX,0,0.11,0,1,211,0,0,0,1,-0.0806602,-0.0806602,1,-0.916088,-0.916088,0.0281677,-0.0175,1
24,Frost,TX,1,0.21,0.16,0,461,1,0,0,1,-0.0605721,0,0,-0.318088,0,0.067255,0.0740035,1
25,Andrews,TX,1,0.29,0.04,0,212,0,0,1,1,-0.0765232,0,0,-0.0101881,0,0.0316077,-0.0075469,1
26,Armey,TX,0,0.25,0,0,434,0,1,0,1,-0.0624905,-0.0624905,1,0.9817119,0.9817119,0.1038479,0.136922,1
27,Ortiz,TX,1,0.17,0.03,1,148,0,0,0,1,-0.0878174,0,0,-0.916388,0,0.0278179,-0.0185452,1
28,Tejeda,TX,1,0.17,0.04,1,356,0,0,0,1,-0.086076,0,0,-1.043988,0,0.0248362,-0.0277373,1
29,Green,TX,1,0.06,0.28,0,458,0,0,0,0,-0.0765232,0,0,-1.010388,0,0.0310286,-0.0091828,1
30,Johnson,TX,0,0.22,0,0,456,0,0,1,1,-0.0769652,0,0,1.451612,0,0.0926207,0.1190042,1
1,Hansen,UT,0,0.35,0,0,455,0,0,0,1,-0.0618688,-0.0618688,1,-0.0152881,-0.0152881,0.0858242,0.1076253,0
2,Shepherd,UT,1,0.01,0.17,0,435,0,0,0,1,-0.0607399,0,0,0.024412,0,0.0863769,0.1085672,0
3,Orton,UT,1,0.16,0.28,0,463,0,0,1,0,-0.0652474,-0.0652474,1,-0.4145879,-0.4145879,0.0735857,0.0859346,0
1,Bateman,VA,0,0.23,0.02,0,463,0,0,0,1,-0.0441982,-0.0441982,1,0.256912,0.256912,0.0265433,-0.0224112,0
2,Pickett,VA,1,0.18,0.07,0,462,0,0,0,1,-0.0448951,-0.0448951,1,0.1860121,0.1860121,0.0290994,-0.0147468,0
3,Scott,VA,1,0.07,0.17,0,435,0,0,0,0,-0.0439037,0,0,-0.815988,0,0.0077596,-0.0972438,0
4,Sisisky,VA,1,0.33,0.07,0,463,0,0,0,0,-0.0435844,0,0,-0.029088,0,0.0189644,-0.0476211,0
5,Payne,VA,1,0.26,0.04,0,437,0,0,0,1,-0.0448951,0,0,-0.590888,0,0.01477,-0.0638005,0
6,Goodlatte,VA,0,0.14,0,0,460,0,0,0,1,-0.0452051,-0.0452051,1,-0.3560879,-0.3560879,0.016903,-0.0553206,0
7,Bliley,VA,0,0.35,0,0,396,0,1,1,1,-0.0418758,-0.0418758,1,0.796912,0.796912,0.0228469,-0.0341804,0
